CODE_LIGNE;LIB_LIGNE;CATLIG;RG_TRONCON;PKD;PKF;IDGAIA;X_D_L93;Y_D_L93;X_F_L93;Y_F_L93;X_D_WGS84;Y_D_WGS84;X_F_WGS84;Y_F_WGS84;C_GEO_D;C_GEO_F
5343;5343;Ligne à grande vitesse;1;000+000;005+196;7782ef0c-e28c-11e8-92ff-01b064e0362d;951595.2518000007;6879409.669100001;953989.3596000001;6879545.9454;6.437212033280549;48.96534573730955;6.469959419643305;48.96562870855198;48.96534573730955, 6.437212033280549;48.96562870855198, 6.469959419643305
538311;538311;Ligne à grande vitesse;1;000+000;003+439;77831828-e28c-11e8-92ff-01b064e0362d;488944.34109999985;6605314.4739000015;486875.9252000004;6602681.177200001;0.24662787832281635;46.51471703514931;0.2208746733822826;46.49036773041644;46.51471703514931, 0.24662787832281635;46.49036773041644, 0.2208746733822826
752354;752354;Ligne à grande vitesse;1;000+000;003+100;7781f1e8-e28c-11e8-92ff-01b064e0362d;835704.1912999973;6357864.758099999;836096.7111999989;6354804.261999998;4.7012241483125035;44.30664976880583;4.705314885322642;44.27903151145665;44.30664976880583, 4.7012241483125035;44.27903151145665, 4.705314885322642
752356;752356;Ligne à grande vitesse;1;000+000;001+614;7781f272-e28c-11e8-92ff-01b064e0362d;835628.0969000012;6356488.385200001;835636.5873000026;6354893.686999999;4.699899105222208;44.294278193742436;4.699575352222603;44.27992554946671;44.294278193742436, 4.699899105222208;44.27992554946671, 4.699575352222603
167320;167320;Ligne à grande vitesse;1;000+000;001+851;778320e6-e28c-11e8-92ff-01b064e0362d;1004980.4496999979;6859939.410100002;1006488.947300002;6860678.934599999;7.151341665036362;48.76738663790645;7.172368382165815;48.773313852959085;48.76738663790645, 7.151341665036362;48.773313852959085, 7.172368382165815
5341;5341;Ligne à grande vitesse;1;000+000;003+320;777a363e-e28c-11e8-92ff-01b064e0362d;919743.9532999992;6878697.565499999;921523.9182000011;6879877.864399999;6.002149911026628;48.970622968909204;6.0270620061071964;48.980617830281076;48.970622968909204, 6.002149911026628;48.980617830281076, 6.0270620061071964
752340;752340;Ligne à grande vitesse;1;416+648;419+962;77810608-e28c-11e8-92ff-01b064e0362d;861418.4699999988;6508811.478399999;863460.0362000018;6506496.934;5.0731227227101625;45.65978156631151;5.098540778880845;45.63846122811232;45.65978156631151, 5.0731227227101625;45.63846122811232, 5.098540778880845
216312;216312;Ligne à grande vitesse;1;287+653;288+279;777f63f6-e28c-11e8-92ff-01b064e0362d;616136.5134000033;7091450.005199999;615528.7964000031;7091472.477600001;1.8099616070608395;50.913472110623296;1.8013344699536302;50.91359122124942;50.913472110623296, 1.8099616070608395;50.91359122124942, 1.8013344699536302
431000;431000;Ligne à grande vitesse;1;006+300;222+994;778366fe-e28c-11e8-92ff-01b064e0362d;648198.7695999965;6855347.721900001;530142.2220000029;6695404.759399999;2.2948176163410876;48.79612913904851;0.7502863036932537;47.3371930740501;48.79612913904851, 2.2948176163410876;47.3371930740501, 0.7502863036932537
431315;431315;Ligne à grande vitesse;1;214+699;217+389;777ab2f2-e28c-11e8-92ff-01b064e0362d;534234.1506000012;6702071.9474;531866.2973999977;6701374.091200002;0.8019969026703994;47.39822552407638;0.7708776301264303;47.39134840718037;47.39822552407638, 0.8019969026703994;47.39134840718037, 0.7708776301264303
431302;431302;Ligne à grande vitesse;1;065+833;066+442;777ab074-e28c-11e8-92ff-01b064e0362d;608926.2453000024;6815463.471099999;608628.2113000005;6814949.4058;1.7687255851579085;48.43306094916042;1.7648056690138032;48.428394902065556;48.43306094916042, 1.7687255851579085;48.428394902065556, 1.7648056690138032
538315;538315;Ligne à grande vitesse;1;;;;486436.1070000008;6603658.490200002;488710.31930000335;6606884.848200001;0.2146948741494719;46.49902297714005;0.24286233195250279;46.52877529413486;46.49902297714005, 0.2146948741494719;46.52877529413486, 0.24286233195250279
